onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
1060.21484375	0.0002	electrical_stimulation	n/a	n/a	2927032	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1065.6884765625	0.0002	electrical_stimulation	n/a	n/a	2938242	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1070.0732421875	0.0002	electrical_stimulation	n/a	n/a	2947222	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1072.3515625	0.0002	electrical_stimulation	n/a	n/a	2951888	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1076.35009765625	0.0002	electrical_stimulation	n/a	n/a	2960077	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1103.64794921875	0.0002	electrical_stimulation	n/a	n/a	3015983	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
1107.86083984375	0.0002	electrical_stimulation	n/a	n/a	3024611	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
1112.9697265625	0.0002	electrical_stimulation	n/a	n/a	3035074	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
1116.232421875	0.0002	electrical_stimulation	n/a	n/a	3041756	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
1120.32568359375	0.0002	electrical_stimulation	n/a	n/a	3050139	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
1123.9384765625	0.0002	electrical_stimulation	n/a	n/a	3057538	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
1128.28125	0.0002	electrical_stimulation	n/a	n/a	3066432	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
1132.806640625	0.0002	electrical_stimulation	n/a	n/a	3075700	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
1137.0869140625	0.0002	electrical_stimulation	n/a	n/a	3084466	biphasic	RA9-RA10	9-10	6.0 mA	n/a	good	n/a
